x,y,z,label,model
0.442327,-0.560395,1.273891,1,fossil1
-0.261082,0.888238,-1.403907,1,fossil1
0.51486,0.465226,1.47557,1,fossil1
-0.710064,-1.936405,-1.206194,1,fossil1
0.231745,2.398096,0.180852,1,fossil1
0.228529,-0.680653,1.245542,1,fossil1
-0.594126,-1.506828,-1.478088,1,fossil1
0.319701,2.613615,0.526021,1,fossil1
0.130555,-1.047605,1.002114,1,fossil1
-0.630339,-1.431931,-1.385529,1,fossil1
0.383795,2.565924,0.589332,1,fossil1
0.238562,-0.841471,1.050729,1,fossil1
-0.586702,-1.630911,-1.640555,1,fossil1
0.387843,2.471611,0.306309,1,fossil1
0.283361,-0.342001,1.244956,1,fossil1
-0.830613,-2.057706,-1.244795,1,fossil1
0.124303,2.363001,-0.005683,1,fossil1
0.508279,0.338629,1.420322,1,fossil1
-0.628879,-2.379219,-1.209628,1,fossil1
0.077734,1.96613,-0.560169,1,fossil1
0.542185,0.860397,1.563628,1,fossil1
-0.549969,-2.62765,-0.835046,1,fossil1
-0.1115,1.454603,-0.771673,1,fossil1
0.652927,1.429515,1.447455,1,fossil1
-0.479867,-2.559746,-0.3795,1,fossil1
-0.301534,0.732528,-1.291159,1,fossil1
0.602503,2.158163,1.385347,1,fossil1
-0.238753,-2.294923,0.003006,1,fossil1
-0.419089,0.105304,-1.409749,1,fossil1
0.688802,1.971279,1.27911,1,fossil1
-0.159032,-2.230984,0.021818,1,fossil1
-0.418002,0.102669,-1.474484,1,fossil1
0.693848,1.993426,1.209836,1,fossil1
-0.226784,-2.225142,0.052381,1,fossil1
-0.268102,0.573825,-1.496045,1,fossil1
0.526873,1.809348,1.500727,1,fossil1
-0.347999,-2.45868,-0.443781,1,fossil1
-0.123646,1.701928,-1.0735,1,fossil1
0.618156,0.967302,1.604706,1,fossil1
-0.472196,-2.395782,-1.248628,1,fossil1
0.106314,2.152303,0.031632,1,fossil1
0.369016,-0.571861,1.249234,1,fossil1
-0.571865,-1.483055,-1.450983,1,fossil1
0.465325,2.158023,0.970128,1,fossil1
-0.065186,-2.118363,0.138211,1,fossil1
-0.429628,0.599005,-0.811945,1,fossil1
0.525104,0.864233,1.576116,1,fossil1
-0.535084,-1.954985,-1.225715,1,fossil1
0.260927,2.409571,0.403068,1,fossil1
0.062376,-1.711884,0.733195,1,fossil1
-0.491974,0.253136,-1.351419,1,fossil1
0.486538,1.231367,1.69683,1,fossil1
-0.473358,-1.96828,-1.176828,1,fossil1
0.241074,2.282398,0.342547,1,fossil1
-0.018486,-1.803306,0.593107,1,fossil1
-0.214343,0.889605,-1.462775,1,fossil1
0.493163,0.735898,1.554329,1,fossil1
-0.501822,-1.775066,-1.480121,1,fossil1
0.443403,2.236202,0.880519,1,fossil1
-0.173457,-2.141424,-0.024662,1,fossil1
-0.313917,1.308189,-0.506326,1,fossil1
0.390303,-0.630009,1.2509,1,fossil1
-0.482052,-0.034685,-1.689477,1,fossil1
0.35735,1.206734,1.706645,1,fossil1
-0.515054,-1.77199,-1.409021,1,fossil1
0.429128,2.145649,1.041365,1,fossil1
-0.262282,-2.266364,-0.286457,1,fossil1
0.09241,1.9008,-0.193348,1,fossil1
0.271884,-1.41337,0.831785,1,fossil1
-0.200582,1.045314,-1.817078,1,fossil1
0.455448,0.205767,1.537013,1,fossil1
-0.614762,-1.407708,-1.42161,1,fossil1
0.550562,1.822883,1.147478,1,fossil1
